job_id,job_title,company,salary_min,salary_max,yrs_of_exp_min,yrs_of_exp_max,job_city,due_date,jd,job_url,salary_text,company_name,company_link,updated_at,time_left,tags,location
1931180,Chuyên Viên Số Hóa Nghiệp Vụ Bảo Hiểm,N/A,,,3.0,3.0,Hà Nội,,"1. Phân tích & Tư vấn Nghiệp vụ:Phân tích hiện trạng và đề xuất cải tiến quy trình nghiệp vụ (business process).Xây dựng business case và đánh giá ROI.Tư vấn giải pháp tích hợp AI vào quy trình hiện tại.Phối hợp chặt chẽ với các đơn vị nghiệp vụ để hiểu rõ hiện trạng và yêu cầu cải tiến.Tham vấn các bên liên quan (stakeholders) để xác định phạm vi và yêu cầu chi tiết.Trình bày và thống nhất các giải pháp cải tiến quy trình với các đơn vị liên quan.Phát triển các tài liệu đặc tả yêu cầu chi tiết.2. Thiết kế & Tối ưu hóa Quy trình nghiệp vụ:Thiết kế quy trình nghiệp vụ tương lai (To-Be).Xây dựng process maps và workflow diagrams.Phối hợp với các đơn vị liên quan để hoàn thiện các user stories, use cases và prototypes.Tạo mockups và prototypes.Tối ưu hóa quy trình thông qua AI/RPA.3. Quản lý Dự án & Triển khai:Phối hợp chặt chẽ với các đơn vị liên quan trong quá trình quản lý dự án, triển khai và đào tạo người dùng.Theo dõi và báo cáo tiến độ.Quản lý thay đổi và rủi ro.Hỗ trợ UAT và triển khai.Đào tạo người dùng.4. Nghiên cứu & Phát triển:Nghiên cứu xu hướng công nghệ mới.Đề xuất ứng dụng AI/ML vào quy trình.Phát triển frameworks và templates.Chia sẻ kiến thức trong team.",https://www.topcv.vn/viec-lam/chuyen-vien-so-hoa-nghiep-vu-bao-hiem/1931180.html?ta_source=ITJobs_LinkDetail,Thoả thuận,TỔNG CÔNG TY CỔ PHẦN BẢO HIỂM BƯU ĐIỆN,https://www.topcv.vn/cong-ty/tong-cong-ty-co-phan-bao-hiem-buu-dien/201057.html,Cập nhật 1 tuần trước,Còn54ngày để ứng tuyển,"Làm việc nhóm, Giao tiếp, Phân tích dữ liệu, 2+",Hà Nội
1931427,Product Manager (Biết Tiếng Trung),N/A,,60.0,3.0,3.0,Hồ Chí Minh,,"+Quản lý toàn bộ vòng đời sản phẩm: nghiên cứu nhu cầu, thiết kế sản phẩm, cải tiến và tối ưu chức năng+Viết tài liệu sản phẩm, thiết kế prototype, phối hợp triển khai các quy trình thiết kế, phát triển, kiểm thử+Theo dõi dữ liệu sản phẩm, phân tích phản hồi người dùng, đề xuất phương án tối ưu hóa+Tham gia nghiên cứu thị trường, xây dựng chiến lược sản phẩm và lập kế hoạch phiên bản+Phối hợp chặt chẽ với các nhóm phát triển, vận hành và thiết kế để thúc đẩy tiến độ dự án",https://www.topcv.vn/viec-lam/product-manager-biet-tieng-trung/1931427.html?ta_source=ITJobs_LinkDetail,Tới 60 triệu,CÔNG TY TNHH KHOA HỌC VÀ CÔNG NGHỆ MINDORIGIN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-khoa-hoc-va-cong-nghe-mindorigin/236893.html,Cập nhật 1 tuần trước,Còn22ngày để ứng tuyển,,Hồ Chí Minh
1683787,Thực Tập Sinh Devops,N/A,,,,,Hà Nội,,"- Hỗ trợ xây dựng, duy trì và tối ưu hệ thống CI/CD cho các dự án phần mềm.- Tham gia triển khai, cấu hình các công cụ DevOps như: Jenkins, GitLab CI/CD, Docker, Kubernetes, Ansible, Terraform...- Học hỏi và tham gia giám sát, vận hành hệ thống server (Linux/Windows), cloud (AWS, Azure, GCP) và các nền tảng ảo hóa.- Viết script tự động hóa các tác vụ (bash, shell, Python, v.v.).- Làm việc trực tiếp với các kỹ sư DevOps chính thức để hỗ trợ kiểm tra, cập nhật và triển khai sản phẩm.- Cập nhật tài liệu kỹ thuật, quy trình triển khai, và tài liệu hướng dẫn nội bộ",https://www.topcv.vn/viec-lam/thuc-tap-sinh-devops/1683787.html?ta_source=ITJobs_LinkDetail,Thoả thuận,FPT Software,https://www.topcv.vn/cong-ty/fpt-software/201091.html,Cập nhật 1 tuần trước,Còn54ngày để ứng tuyển,"Khả Năng Làm Việc Nhóm, Kiến Thức Cơ Bản Về Linux, Kiến Thức Về Quản Lý Cấu Hình (configuration Management), 2+",Hà Nội
1931307,Full Stack Developer (ReactJS / .NET Core) Đi Làm Ngay,N/A,40.0,55.0,3.0,3.0,Hồ Chí Minh,,"Công ty Bảo hiểm AIA VN, cần build 1 Dev, term 04 thángWe are seeking a skilled Full Stack Developer with strong expertise in both front-end and back-end development. The ideal candidate will be proficient in building responsive web applications using ReactJS and developing robust APIs and services with .NET Core.Key Responsibilities:•    Design, develop, and maintain scalable web applications.•    Build dynamic user interfaces using ReactJS, Redux, and modern JavaScript/TypeScript.•    Develop and integrate RESTful APIs and backend services using .NET Core.•    Collaborate with cross-functional teams to define, design, and ship new features.•    Ensure application performance, scalability, and security.•    Participate in code reviews and contribute to continuous improvement.",https://www.topcv.vn/viec-lam/full-stack-developer-reactjs-net-core-di-lam-ngay/1931307.html?ta_source=ITJobs_LinkDetail,40 - 55 triệu,CÔNG TY CỔ PHẦN BPO MẮT BÃO,https://www.topcv.vn/cong-ty/cong-ty-co-phan-bpo-mat-bao/169547.html,Cập nhật 1 tuần trước,Còn21ngày để ứng tuyển,"C#, HTML, Javascript, 4+",Hồ Chí Minh
1912767,Senior Mobile Team Lead (Flutter) - Cầu Giấy Hà Nội - Dự Án Chứng Khoán,N/A,,,5.0,5.0,Hà Nội,,"Chịu trách nhiệm quản lý và phát triển ứng dụng mobile, phục vụ sản phẩm/dịch vụ của công ty.Dẫn dắt và định hướng kỹ thuật cho team mobile.Tham gia xây dựng kiến trúc hệ thống, tối ưu hiệu năng và trải nghiệm người dùng.Phối hợp với các bộ phận liên quan (Backend, Product Owner, UI/UX, QA) để đảm bảo chất lượng và tiến độ phát triển sản phẩm.Nghiên cứu, cập nhật công nghệ mobile mới nhằm áp dụng vào sản phẩm.",https://www.topcv.vn/viec-lam/senior-mobile-team-lead-flutter-cau-giay-ha-noi-du-an-chung-khoan/1912767.html?ta_source=ITJobs_LinkDetail,Thoả thuận,CÔNG TY TNHH GROOO INTERNATIONAL,https://www.topcv.vn/cong-ty/cong-ty-tnhh-grooo-international/223050.html,Cập nhật 1 tuần trước,Còn6ngày để ứng tuyển,"Quản Lý Dự Án, Agile/Scrum, Lãnh Đạo Nhóm, 2+",Hà Nội
1820448,Backend Developer (Golang/Python),N/A,20.0,45.0,3.0,3.0,Hà Nội,,"I/ Về VCSCông ty An Ninh Mạng Viettel (Viettel Cyber Security) là đơn vị nghiên cứu, phát triển chuyên sâu các sản phẩm, dịch vụ An toàn thông tin toàn trình, đồng thời trực tiếp cung cấp sản phẩm, dịch vụ ATTT toàn trình thế hệ mới cho các tổ chức doanh nghiệp lớn trong và ngoài nước. Lý do nên gia nhập VCSTham gia đội ngũ Backend tại VCS, bạn sẽ có cơ hội và thử thách như sau:  - Nhiều bài toán mới, khó: Scalable, High-performance, Real Time processing ...      + Mục tiêu xử lý 200k eps      + Chống tấn công ddos: 60GB/s, - Được giao quyền chủ động thực hiện công việc, đề xuất các ý tưởng mới - Đóng vai trò quan trọng trong việc phát triển phần mềm. Đem lại giá trị, đáp ứng kỳ vọng của khách hàng.II/ Mô tả công việc -  Nghiên cứu và phát triển các sản phẩm phần mềm trong lĩnh vực An ninh mạng (thựchiện giám sát và phát hiện tấn công; quản lý ATTT cho tổ chức/doanh nghiệp)- Làm việc với team phát triển phần mềm tiếp nhận, phân tích và tạo ra các thiết kế/kiếntrúc mới hướng đến quy mô và hiệu suất- Thực hiện tối ưu về mặt kiến trúc hiệu năng cho các hệ thống lớn- Nghiên cứu, áp dụng các công nghệ mới vào phát triển sản phẩm (microservice, cloudnative, CI/CD)- Làm việc theo mô hình Agile-Scrum- Có cơ hội tham gia xử lý các bài toán mới, khó như: Scalable, High-performance,Real-time Processing...",https://www.topcv.vn/viec-lam/backend-developer-golang-python/1820448.html?ta_source=ITJobs_LinkDetail,20 - 45 triệu,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mot-thanh-vien-an-ninh-mang-viettel/227595.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Python, Lập Trình Hướng Đối Tượng (oop), Go (golang), 2+",Hà Nội
1820897,Business Analyst,N/A,,,3.0,3.0,Hà Nội,,"Công ty TNHH Một thành viên An ninh mạng Viettel (Viettel Cyber Security One Member Limited Liability Company) là đơn vị tập trung thực hiện, nghiên cứu, phát triển chuyên sâu các sản phẩm, giải pháp An toàn thông tin, đồng thời cung cấp sản phẩm, dịch vụ ATTT cho các tổ chức doanh nghiệp lớn trong và ngoài nước.Trở thành Business Analyst tại VCS, bạn sẽ:Phát triển toàn diện skillset, làm việc trực tiếp với các khách hàng lớn.Được tham gia phát triển sản phẩm của riêng mình, khuyến khích khả năng đổi mới sáng tạo.Tham gia toàn bộ quy trình từ bước lên ý tưởng, khảo sát thị trường, nghiên cứu đối thủ cạnh tranh đến việc xây dựng MVP và đưa sản phẩm thâm nhập thị trường.Được trao quyền và cung cấp các nguồn lực cần thiết để phát triển sản phẩm thành công đưa ra thị trường.Mô tả công việc:– Tiếp nhận, khảo sát, thu thập yêu cầu từ khách hàng theo yêu cầu phát triển của dự án, phân tích yêu cầu và dữ liệu, mô tả quy trình nghiệp vụ, use cases, scenarios, phân tích nghiệp vụ  để đưa ra các yêu cầu về nghiệp vụ, giao diện và tính năng– Thiết kế mô hình dữ liệu, tạo các mockups hay prototypes cho dự án– Soạn thảo và hoàn chỉnh tài liệu nghiệp vụ– Phối hợp khách hàng nghiệm thu hệ thống– Nghiên cứu thị trường, đối thủ; đề xuất phát triển các tính năng mới; lập kế hoạch để triển khai các tính năng mới– Tham gia nghiên cứu, tìm hiểu các giải pháp và ứng dụng công nghệ vào dự án",https://www.topcv.vn/viec-lam/business-analyst/1820897.html?ta_source=ITJobs_LinkDetail,Thoả thuận,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mot-thanh-vien-an-ninh-mang-viettel/227595.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Giao tiếp, Phân Tích Nghiệp Vụ, Thu Thập Yêu Cầu, 2+",Hà Nội
1821807,Product Business Analyst/Product Analyst,N/A,,,3.0,3.0,Hà Nội,,"I/ Về VCS     Công ty An Ninh Mạng Viettel (Viettel Cyber Security) là đơn vị nghiên cứu, phát triển chuyên sâu các sản phẩm, dịch vụ An toàn thông tin toàn trình, đồng thời trực tiếp cung cấp sản phẩm, dịch vụ ATTT toàn trình thế hệ mới cho các tổ chức doanh nghiệp lớn trong và ngoài nước.  Về sản phẩm: TNXH - Viettel Anti-Scam Solutions: Dưới bối cảnh người dùng ngày càng đối mặt với nhiều hình thức lừa đảo tinh vi qua các cuộc gọi, thiết bị công nghệ như camera, và các nền tảng số, VCS tập trung phát triển hệ sinh thái sản phẩm toàn diện, tích hợp nhiều ứng dụng và dịch vụ – nhằm mang đến giải pháp bảo vệ người dùng một cách toàn diện, bao gồm các tính năng cảnh báo lừa đảo, chống làm phiền, và đảm bảo an toàn tài khoản cũng như thông tin cá nhân.Chúng tôi đang tìm kiếm một Product Business Analyst để đóng vai trò cầu nối giữa các đối tác, đội ngũ phát triển sản phẩm nhằm định hình và triển khai các sản phẩm đáp ứng nhu cầu thực tế từ thị trường và đối tác.II/ Mô tả công việcLàm việc trực tiếp với đối tác để thu thập, phân tích và làm rõ các yêu cầu nghiệp vụ, yêu cầu kỹ thuật, tính năng. Tham gia cùng đội ngũ phát triển sản phẩm và kỹ thuật để phân tích bài toán, đưa ra các yêu cầu, đề xuất giải pháp phát triển sản phẩm phù hợp đáp ứng nhu cầu thị trường, đối tác. Viết tài liệu mô tả yêu cầu nghiệp vụ (BRD), tài liệu mô tả chức năng (FSD) và các đặc tả kỹ thuật cần thiết cho team phát triển.Phối hợp với team phát triển trong quá trình xây dựng và kiểm thử sản phẩm để đảm bảo đầu ra đúng kỳ vọng.Theo dõi, cập nhật và điều chỉnh các yêu cầu nếu có thay đổi từ phía đối tác hoặc thị trường.Góp phần đề xuất cải tiến sản phẩm dựa trên nhu cầu thực tế của người dùng và xu hướng thị trường.",https://www.topcv.vn/viec-lam/product-business-analyst-product-analyst/1821807.html?ta_source=ITJobs_LinkDetail,Thoả thuận,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mot-thanh-vien-an-ninh-mang-viettel/227595.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"SQL, Làm việc nhóm, Giao tiếp, 2+",Hà Nội
1912979,Fullstack Developer (Reactjs; PHP) - Tối Thiểu 3 Năm Kinh Nghiệm (Middle/ Senior),N/A,,,3.0,3.0,Hà Nội,,- Develop apps for e-commerce platforms Shopify/ WooCommerce.- Deliver high-quality products on schedule.- Communicating and reporting work progress to the manager.- Collaborate with the team to enhance/add features to the apps based on personal insights.- Supporting colleagues in completing the product together.,https://www.topcv.vn/viec-lam/fullstack-developer-reactjs-php-toi-thieu-3-nam-kinh-nghiem-middle-senior/1912979.html?ta_source=ITJobs_LinkDetail,Thoả thuận,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,https://www.topcv.vn/cong-ty/xipat-flexible-solutions-company-limited/98523.html,Cập nhật 1 tuần trước,Còn23ngày để ứng tuyển,"Javascript, PHP, ReactJS, 4+",Hà Nội
1912700,Scrum Master/ Project Manager (Technical Base/ Tester Base) Offer Upto 40M,N/A,,,2.0,2.0,Hà Nội,,"Manage the full lifecycle of multiple projects using Scrum methodology.Collaborate with business stakeholders and engineering teams to develop detailed project plans, including deliverables, schedules, and resource allocation.Identify and address dependency risks, and help the team prioritize effectively.Ensure effective and timely communication with project governance authorities and provide relevant project information as needed.Provide constructive and timely feedback to delivery team members and stakeholders to support continuous improvement.Set the delivery cadence and motivate teams to stay focused, aligned, and committed to goals.",https://www.topcv.vn/viec-lam/scrum-master-project-manager-technical-base-tester-base-offer-upto-40m/1912700.html?ta_source=ITJobs_LinkDetail,Thoả thuận,OpenCommerce Group,https://www.topcv.vn/cong-ty/opencommerce-group/1258.html,Cập nhật 1 tuần trước,Còn6ngày để ứng tuyển,"tester leader, Software Tester, SCRUM, 6+",Hà Nội
