job_id,job_title,company,salary_min,salary_max,yrs_of_exp_min,yrs_of_exp_max,job_city,due_date,jd,job_url,salary_text,company_name,company_link,updated_at,time_left,tags,location
1932183,ReactJS Developer (1 Năm Kinh Nghiệm Trở Lên),N/A,13.0,20.0,1.0,1.0,Hà Nội,,"Phát triển và Xây dựng các hệ thống web sử dụng ReactJS.Tối ưu hóa hiệu suất và đảm bảo tính tương thích trên các thiết bị và trình duyệt khác nhauTham gia vào quá trình phân tích yêu cầu, thiết kế và lập kế hoạch dự án.Làm việc với các thành viên khác trong nhóm phát triển để hoàn thành các dự án đúng tiến độ.Cập nhật kiến thức và kỹ năng về các công nghệ mới và xu hướng trong ngành.",https://www.topcv.vn/viec-lam/reactjs-developer-1-nam-kinh-nghiem-tro-len/1932183.html?ta_source=ITJobs_LinkDetail,13 - 20 triệu,Công ty Cổ phần Đầu tư và Phát triển Koolsoft,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-va-phat-trien-koolsoft/36378.html,Cập nhật 13 phút trước,Còn21ngày để ứng tuyển,"CSS, HTML, ReactJS, 2+",Hà Nội
990828,Senior Developer,N/A,,25.0,3.0,3.0,Hồ Chí Minh,,"- Tham gia vào các dự án với các đối tác trong và ngoài nước, đặc biệt là doanh nghiệp Nhật Bản, phát triển sản phẩm phần mềm của Công ty gồm: xây dựng, phát triển các tính năng mới, cải thiện giao diện, các tính năng hiện tại. - Hỗ trợ người dùng tìm ra các nguyên nhân lỗi trên hệ thống và hướng dẫn cách xử lý kịp thời. - Nghiên cứu và đề xuất các sản phẩm, ứng dụng mới. - Thực hiện đào tạo thành viên trong dự án.- Các công việc khác do cấp trên giao phó.",https://www.topcv.vn/viec-lam/senior-developer/990828.html?ta_source=ITJobs_LinkDetail,Tới 25 triệu,"Cube System Vietnam Co., Ltd",https://www.topcv.vn/cong-ty/cube-system-vietnam-co-ltd/8956.html,Cập nhật 13 phút trước,Còn23ngày để ứng tuyển,".NET, ASP.NET, Java, 5+",Hồ Chí Minh
1712483,Junior PHP,N/A,10.0,20.0,2.0,2.0,Hà Nội,,"Phát triển, thử nghiệm và duy trì các ứng dụng web dựa trên PHP Duy trì, mở rộng và triển khai các tính năng mới theo yêu cầu của dự ánLập mô hình cả lĩnh vực kinh doanh cũ và mớiPhối hợp với nhóm đa chức năng và Người quản lý dự án hoặc Khách hàng để mang lại kết quả chất lượng cao.Thực hiện theo các nhiệm vụ khác do quản lý giaoKhắc phục sự cố, gỡ lỗi và giải quyết kịp thời các lỗi và sự cố phần mềmCung cấp sự cố vấn và hướng dẫn cho nhiều thành viên cấp dưới hơn",https://www.topcv.vn/viec-lam/junior-php/1712483.html?ta_source=ITJobs_LinkDetail,10 - 20 triệu,Công ty cổ phần BEE TECH ASIA,https://www.topcv.vn/cong-ty/cong-ty-co-phan-bee-tech-asia/167975.html,Cập nhật 13 phút trước,Còn24ngày để ứng tuyển,"Kiến Thức Về Lập Trình Hướng Đối Tượng (oop), Sql Cơ Bản, Php Cơ Bản, 2+",Hà Nội
1440784,Nhân Viên Kỹ Thuật Phần Mềm,N/A,8.0,12.0,,,Hà Nội & 3 nơi khác,,"Tư vấn, hỗ trợ cho khách hàng kỹ thuật, chức năng; hướng dẫn khách hàng sử dụng sản phẩmGiới thiệu các phần mềm phù hợp với nhu cầu sử dụng khách hàng (trên Android, iOS, Window Phone...)Cài đặt các ứng dụng, tiện ích cho sản phẩm; cài đặt các gói phần mềm được quy định sẵnTriển khai bán các dịch vụ kỹ thuật phần mềm của Công ty cho khách hàngTham gia các chương trình, dịch vụ do trưởng bộ phận kỹ thuật đặt raThời gian làm việc: Ca xoay linh hoạt (Ca sáng: Từ 08h00 – 15h00, ca chiều: từ 15h00 – 22h00)",https://www.topcv.vn/viec-lam/nhan-vien-ky-thuat-phan-mem/1440784.html?ta_source=ITJobs_LinkDetail,8 - 12 triệu,CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP HTV (CellphoneS),https://www.topcv.vn/cong-ty/cong-ty-tnhh-thuong-mai-tong-hop-htv-cellphones/22163.html,Cập nhật 13 phút trước,Còn54ngày để ứng tuyển,,Hà Nội & 3 nơi khác
1930099,Junior Android Developer Tại Hà Nội,N/A,,,1.0,1.0,Hà Nội,,"- Phát triển ứng dụng trên nền tảng Android
- Tham gia trải nghiệm sản phẩm, hiểu người dùng để đưa ra những đề xuất trong sản phẩm
- Làm việc cùng đội dự án phát triển, sửa lỗi và bảo trì sản phẩm (Fix bug and Maintain)
- Hệ thống hóa và tối ưu hóa sản phẩm (Hiệu năng, tính năng...)
- Tham gia Code Review
- Phối hợp QA test chất lượng sản phẩm trước khi Release
- Báo cáo tiến độ và tình trạng công việc trực tiếp tới quản lý dự án",https://www.topcv.vn/viec-lam/junior-android-developer-tai-ha-noi/1930099.html?ta_source=ITJobs_LinkDetail,Thoả thuận,Công ty TNHH Dịch vụ công nghệ TP,https://www.topcv.vn/cong-ty/cong-ty-tnhh-dich-vu-cong-nghe-tp/46569.html,Cập nhật 13 phút trước,Còn21ngày để ứng tuyển,,Hà Nội
1942051,Chuyên Viên Tester/QC Phần Mềm,N/A,8.0,20.0,,1.0,Hồ Chí Minh,,"Học về nghiệp vụ và quy trình của phần mềm ALOBO.Tham gia phát triển hệ thống phần mềm ALOBO.Tham gia kiểm thử phần mềm: manual, automation, API, backend, non-functional.Phân tích tài liệu (BRD, PRD, User Story…) và yêu cầu nghiệp vụ.Thiết kế tài liệu test: test plan, test case, scenario, test data.Thực hiện các loại kiểm thử: functional, UI/UX, integration, system, regression, smoke, acceptance.Viết test script automation (Selenium/Appium/Cypress…), tích hợp CI/CD.Test API bằng Postman/Rest Assured; kiểm tra DB (SQL/NoSQL).Thực hiện performance + security test cơ bản (JMeter, OWASP).Ghi nhận & quản lý bug (Jira/TestRail/etc.); theo dõi vòng đời bug.Báo cáo kết quả test, đề xuất cải tiến, tham gia Agile/Scrum.",https://www.topcv.vn/viec-lam/chuyen-vien-tester-qc-phan-mem/1942051.html?ta_source=ITJobs_LinkDetail,8 - 20 triệu,CÔNG TY TNHH DOCUMENT EASY,https://www.topcv.vn/cong-ty/cong-ty-tnhh-document-easy/129233.html,Cập nhật 13 phút trước,Còn29ngày để ứng tuyển,"Kỹ Năng Phân Tích Yêu Cầu, Kiến Thức Về Kiểm Thử Phần Mềm, Kỹ Năng Viết Test Case, 2+",Hồ Chí Minh
1868006,Business Analyst (Fintech),N/A,,,2.0,2.0,Hà Nội,,"- Thu thập & phân tích yêu cầu từ Business, Product, Compliance team.- Xây dựng tài liệu: BRD, SRS, User Story, Workflow, Data Mapping.- Thiết kế & review flow thanh toán, ví điện tử, eKYC, AML, risk management.- Phối hợp với Dev & QA: làm rõ yêu cầu, hỗ trợ test case, UAT.- Theo dõi & phân tích dữ liệu giao dịch, phát hiện vấn đề bất thường.- Làm việc chặt chẽ với team pháp lý để đảm bảo compliance.- Hỗ trợ team marketing & growth phân tích chỉ số funnel (acquisition, retention).",https://www.topcv.vn/viec-lam/business-analyst-fintech/1868006.html?ta_source=ITJobs_LinkDetail,Thoả thuận,Công ty cổ phần BUFF Fintech,https://www.topcv.vn/cong-ty/cong-ty-co-phan-buff-fintech/118919.html,Cập nhật 13 phút trước,Còn23ngày để ứng tuyển,"Phân Tích Nghiệp Vụ, phân tích yêu cầu, Quản Lý Yêu Cầu, 2+",Hà Nội
1931120,Mid FullStack Thu Nhập Từ 20.000.000 - 50.000.000 Tại Hà Nội,N/A,20.0,50.0,2.0,2.0,Hà Nội,,"- Phát triển ứng dụng backend:
+ Sử dụng Node.js để phát triển và triển khai các dịch vụ cho ứng dụng web, mobile.
+ Thiết kế và lập trình API RESTful/GraphQL đảm bảo hiệu suất, khả năng mở rộng và bảo mật.
+ Làm việc với cơ sở dữ liệu (MySQL, MongoDB, PostgreSQL, ...) để xây dựng và tối ưu hệ thống lưu trữ dữ liệu.
+ Tích hợp các dịch vụ bên ngoài (cổng thanh toán, dịch vụ third-party, cloud services, ...).
+ Debug và xử lý sự cố: Phát hiện, phân tích và khắc phục lỗi trong quá trình phát triển.Tiếp nhận, phân tích và tư vấn giải pháp dựa trên yêu cầu từ khách hàng hoặc người dùng cuối; tổ chức họp, phỏng vấn với các bên liên quan để xác định yêu cầu cụ thể.
- Tối ưu hiệu suất hệ thống:
+ Tối ưu hóa hiệu suất API và hệ thống backend để đảm bảo thời gian phản hồi nhanh và khả năng xử lý cao.
+ Theo dõi, phân tích log và hiệu suất hệ thống để đưa ra giải pháp cải thiện.
- Nhiệm vụ khác:
+ Cập nhật kiến thức và công nghệ Node.js, framework (Express, NestJS, ...) và các thư viện liên quan.
+ Phối hợp chặt chẽ với team để triển khai sản phẩm hiệu quả.
+ Viết tài liệu kỹ thuật, hỗ trợ review code cho đồng đội
- Và những nhiệm vụ liên quan khác theo sự phân công của cấp trên.",https://www.topcv.vn/viec-lam/mid-fullstack-thu-nhap-tu-20-000-000-50-000-000-tai-ha-noi/1931120.html?ta_source=ITJobs_LinkDetail,20 - 50 triệu,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN TRÍ TUỆ NHÂN TẠO AIDIA,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-va-phat-trien-tri-tue-nhan-tao-aidia/233704.html,Cập nhật 13 phút trước,Còn28ngày để ứng tuyển,,Hà Nội
1790286,AI Engineer  (LLM/RAG/Knowledge Graphs),N/A,,40.0,2.0,2.0,Hà Nội,,"Tham gia nghiên cứu và phát triển các mô hình AI tiên tiến như LLM, VLM và Computer Vision.Tập trung vào kiến trúc MPC nhằm xây dựng các AI agent có khả năng xử lý đồng thời nhiều tác vụ một cách hiệu quả.Hỗ trợ thiết kế, triển khai và tối ưu hóa các kiến trúc mô hình AI, đặc biệt là các mô hình dựa trên Transformer, PyTorch và Keras.Học hỏi và áp dụng các kỹ thuật mới trong lĩnh vực xử lý ngôn ngữ tự nhiên (NLP), học sâu (Deep Learning) và hệ thống truy xuất thông tin (IR/RAG).Tham gia nghiên cứu, xây dựng và ứng dụng Knowledge Graphs để nâng cao khả năng suy luận, ngữ cảnh hóa và tính chính xác của hệ thống AI.Phối hợp với các thành viên trong nhóm để thử nghiệm, đánh giá hiệu suất của mô hình và cải tiến pipeline nghiên cứu – phát triển.",https://www.topcv.vn/viec-lam/ai-engineer-llm-rag-knowledge-graphs/1790286.html?ta_source=ITJobs_LinkDetail,Tới 40 triệu,Công ty TNHH Lisod Việt Nam,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lisod-viet-nam/42591.html,Cập nhật 13 phút trước,Còn24ngày để ứng tuyển,"Python, Deep Learning Frameworks (tensorflow, Pytorch), Natural Language Processing (nlp), 2+",Hà Nội
1939653,QC/QA (Phần Mềm),N/A,,20.0,2.0,2.0,Hồ Chí Minh,,"- Thực hiện kiểm thử phần mềm (manual & automation) để đảm bảo chất lượng sản phẩm trước khi phát hành.- Viết, thực thi và quản lý test case, test plan theo yêu cầu dự án.- Phối hợp với đội ngũ phát triển (Dev, PM, BA) để làm rõ yêu cầu và phát hiện, phân tích lỗi.- Ghi nhận, theo dõi và xác nhận fix bug thông qua hệ thống quản lý lỗi.- Ưu tiên tham gia viết test script, thực hiện automation test cho các module quan trọng.- Tham gia review yêu cầu, thiết kế giải pháp để đóng góp ý kiến về chất lượng ngay từ giai đoạn sớm.",https://www.topcv.vn/viec-lam/qc-qa-phan-mem/1939653.html?ta_source=ITJobs_LinkDetail,Tới 20 triệu,Công ty TNHH Du Lịch Lữ Hành Thật Dễ,https://www.topcv.vn/cong-ty/cong-ty-tnhh-du-lich-lu-hanh-that-de/203162.html,Cập nhật 13 phút trước,Còn27ngày để ứng tuyển,"Kỹ năng giao tiếp, Kỹ Năng Phân Tích Yêu Cầu, Kiến Thức Về Kiểm Thử Phần Mềm, 8+",Hồ Chí Minh
